
Epoch:7500/10000  train loss:3.5047e-01  val loss:6.1091e-01  best epoch:988  min loss:4.2734e-02  lr:4.997153876e-02  time:17.03s  time total:20.54min  time remain:6.85min
Epoch:7600/10000  train loss:1.5437e+00  val loss:3.1820e+00  best epoch:988  min loss:4.2734e-02  lr:6.541075875e-02  time:16.38s  time total:20.82min  time remain:6.57min
Epoch:7700/10000  train loss:7.7903e+00  val loss:4.7700e+00  best epoch:988  min loss:4.2734e-02  lr:7.934636065e-02  time:16.33s  time total:21.09min  time remain:6.30min
Epoch:7800/10000  train loss:7.7816e-01  val loss:5.8459e-01  best epoch:988  min loss:4.2734e-02  lr:9.041423065e-02  time:15.74s  time total:21.35min  time remain:6.02min
Epoch:7900/10000  train loss:9.0625e+00  val loss:2.7288e+00  best epoch:988  min loss:4.2734e-02  lr:9.753096852e-02  time:16.30s  time total:21.62min  time remain:5.75min
Epoch:8000/10000  train loss:5.3893e-01  val loss:1.2871e+00  best epoch:988  min loss:4.2734e-02  lr:9.999993838e-02  time:16.95s  time total:21.91min  time remain:5.48min
Epoch:8100/10000  train loss:1.7059e+00  val loss:6.8302e+00  best epoch:988  min loss:4.2734e-02  lr:9.757946024e-02  time:16.56s  time total:22.18min  time remain:5.20min
Epoch:8200/10000  train loss:2.0058e+01  val loss:1.7015e+03  best epoch:988  min loss:4.2734e-02  lr:9.050646738e-02  time:16.28s  time total:22.45min  time remain:4.93min
Epoch:8300/10000  train loss:8.3057e+00  val loss:1.5057e+03  best epoch:988  min loss:4.2734e-02  lr:7.947331361e-02  time:16.38s  time total:22.73min  time remain:4.65min
Epoch:8400/10000  train loss:1.5766e+01  val loss:7.7503e+02  best epoch:988  min loss:4.2734e-02  lr:6.556000090e-02  time:15.71s  time total:22.99min  time remain:4.38min
Epoch:8500/10000  train loss:4.4004e+00  val loss:2.3716e+02  best epoch:988  min loss:4.2734e-02  lr:5.012846124e-02  time:16.61s  time total:23.27min  time remain:4.11min
Epoch:8600/10000  train loss:2.6947e+00  val loss:1.3120e+02  best epoch:988  min loss:4.2734e-02  lr:3.468924125e-02  time:16.63s  time total:23.54min  time remain:3.83min
Epoch:8700/10000  train loss:1.2195e+00  val loss:3.5712e+01  best epoch:988  min loss:4.2734e-02  lr:2.075363935e-02  time:16.33s  time total:23.82min  time remain:3.56min
Epoch:8800/10000  train loss:9.9302e-01  val loss:5.2149e+00  best epoch:988  min loss:4.2734e-02  lr:9.685769348e-03  time:16.27s  time total:24.09min  time remain:3.28min
Epoch:8900/10000  train loss:4.6341e-01  val loss:1.3587e+00  best epoch:988  min loss:4.2734e-02  lr:2.569031476e-03  time:16.30s  time total:24.36min  time remain:3.01min
Epoch:9000/10000  train loss:4.5343e-01  val loss:3.8140e-01  best epoch:988  min loss:4.2734e-02  lr:1.000616233e-04  time:15.78s  time total:24.62min  time remain:2.74min
Epoch:9100/10000  train loss:6.1483e-01  val loss:6.1356e+00  best epoch:988  min loss:4.2734e-02  lr:2.520539760e-03  time:16.97s  time total:24.90min  time remain:2.46min
Epoch:9200/10000  train loss:1.7333e+00  val loss:2.4314e+01  best epoch:988  min loss:4.2734e-02  lr:9.593532623e-03  time:16.22s  time total:25.17min  time remain:2.19min
Epoch:9300/10000  train loss:1.9711e+00  val loss:7.3487e+01  best epoch:988  min loss:4.2734e-02  lr:2.062668639e-02  time:16.47s  time total:25.45min  time remain:1.92min
Epoch:9400/10000  train loss:1.8083e+00  val loss:4.9833e+01  best epoch:988  min loss:4.2734e-02  lr:3.453999910e-02  time:16.37s  time total:25.72min  time remain:1.64min
Epoch:9500/10000  train loss:1.3473e+00  val loss:1.3416e+01  best epoch:988  min loss:4.2734e-02  lr:4.997153876e-02  time:16.59s  time total:26.00min  time remain:1.37min
Epoch:9600/10000  train loss:1.8218e+00  val loss:5.1620e+00  best epoch:988  min loss:4.2734e-02  lr:6.541075875e-02  time:16.68s  time total:26.28min  time remain:1.09min
Epoch:9700/10000  train loss:4.4536e+00  val loss:4.2314e+00  best epoch:988  min loss:4.2734e-02  lr:7.934636065e-02  time:16.87s  time total:26.56min  time remain:0.82min
Epoch:9800/10000  train loss:2.9446e+00  val loss:5.6063e+01  best epoch:988  min loss:4.2734e-02  lr:9.041423065e-02  time:16.02s  time total:26.82min  time remain:0.55min
Epoch:9900/10000  train loss:1.9900e+00  val loss:1.0747e+01  best epoch:988  min loss:4.2734e-02  lr:9.753096852e-02  time:15.50s  time total:27.08min  time remain:0.27min
Epoch:10000/10000  train loss:1.0857e+00  val loss:1.6121e+00  best epoch:988  min loss:4.2734e-02  lr:9.999993838e-02  time:15.54s  time total:27.34min  time remain:0.00min
