
Epoch:6000/10000  train loss:2.7265e-01  val loss:4.3625e+00  best epoch:510  min loss:9.4556e-03  lr:9.999975351e-02  time:16.02s  time total:15.31min  time remain:10.21min
Epoch:6100/10000  train loss:8.9260e-01  val loss:1.5254e+01  best epoch:510  min loss:9.4556e-03  lr:9.055243606e-02  time:16.41s  time total:15.58min  time remain:9.96min
Epoch:6200/10000  train loss:3.7513e-01  val loss:8.5701e+00  best epoch:510  min loss:9.4556e-03  lr:6.563456467e-02  time:16.37s  time total:15.86min  time remain:9.72min
Epoch:6300/10000  train loss:2.8172e-01  val loss:5.5860e+00  best epoch:510  min loss:9.4556e-03  lr:3.476391927e-02  time:16.45s  time total:16.13min  time remain:9.47min
Epoch:6400/10000  train loss:7.8363e-01  val loss:4.9949e-01  best epoch:510  min loss:9.4556e-03  lr:9.732037159e-03  time:16.30s  time total:16.40min  time remain:9.23min
Epoch:6500/10000  train loss:7.2764e-02  val loss:3.8453e-02  best epoch:510  min loss:9.4556e-03  lr:1.002464932e-04  time:16.08s  time total:16.67min  time remain:8.98min
Epoch:6600/10000  train loss:1.3609e-01  val loss:8.3632e-02  best epoch:510  min loss:9.4556e-03  lr:9.547563937e-03  time:16.70s  time total:16.95min  time remain:8.73min
Epoch:6700/10000  train loss:2.6277e-01  val loss:3.1620e+00  best epoch:510  min loss:9.4556e-03  lr:3.446543533e-02  time:16.39s  time total:17.22min  time remain:8.48min
Epoch:6800/10000  train loss:4.1021e-01  val loss:9.9221e+00  best epoch:510  min loss:9.4556e-03  lr:6.533608073e-02  time:16.54s  time total:17.50min  time remain:8.23min
Epoch:6900/10000  train loss:6.5494e-01  val loss:5.6404e+00  best epoch:510  min loss:9.4556e-03  lr:9.036796284e-02  time:16.31s  time total:17.77min  time remain:7.98min
Epoch:7000/10000  train loss:6.3768e-01  val loss:4.0744e+00  best epoch:510  min loss:9.4556e-03  lr:9.999975351e-02  time:16.46s  time total:18.04min  time remain:7.73min
Epoch:7100/10000  train loss:1.1685e+00  val loss:1.3346e+01  best epoch:510  min loss:9.4556e-03  lr:9.055243606e-02  time:15.88s  time total:18.31min  time remain:7.48min
